trade_date,open,high,low,close,pre_close,volume,change,pct_change,value,ema_fast,ema_slow,diff,dea,bar,MA5,MA10,MA20,MA30,MA48
2010-12-01,1.6208,1.666,1.5936,1.6125,1.6456,25210.2,-0.0330999999999999,-2.0114,138630.4284,1.4918895009306714,1.397388778846993,0.09450072208367843,0.07757611487750465,0.03384921441234756,1.5495,1.48827,1.43451,1.3467766666666667,1.2477270833333334
2010-12-02,1.6237,1.6823,1.6033,1.6146,1.6125,24010.45,0.0020999999999999,0.1302,132653.4001,1.5107680392490297,1.4134784989324007,0.09728954031662895,0.08151879996532951,0.03154148070259888,1.58446,1.51803,1.449405,1.3651233333333332,1.2567229166666667
2010-12-03,1.5856,1.6252,1.5258,1.5525,1.6146,23581.03,-0.0621,-3.8462,124244.9525,1.5171883409030251,1.423776387900371,0.09341195300265404,0.08389743057279443,0.019029044859719207,1.6045200000000002,1.53259,1.45686,1.38148,1.26411875
2010-12-06,1.535,1.5539,1.4759,1.4977,1.5525,23872.68,-0.0547999999999999,-3.5298,121776.2668,1.514190134610252,1.4292522110188621,0.08493792359138985,0.08410552917651351,0.0016647888297526836,1.5845799999999999,1.53815,1.4585450000000002,1.3945800000000002,1.2714812500000001
2010-12-07,1.4794,1.6149,1.4788,1.5971,1.4977,20784.46,0.0993999999999999,6.6368,110090.0859,1.526945498516367,1.4416853805730203,0.08526011794334676,0.08433644692988015,0.0018473420269332075,1.57488,1.55057,1.4672699999999999,1.41205,1.2815666666666667
2010-12-08,1.5906,1.6468,1.5735,1.585,1.5971,14366.02,-0.0121,-0.7576,78121.4523,1.5358769602830797,1.4523012783083522,0.08357568197472753,0.08418429393884964,-0.001217223928244221,1.56938,1.55944,1.47289,1.4283266666666667,1.2930083333333333
2010-12-09,1.5785,1.6208,1.538,1.6092,1.585,19799.86,0.0242,1.5268,106027.2756,1.5471574279318367,1.4639234058410668,0.08323402209076991,0.0839942395692337,-0.00152043495692758,1.5683,1.57638,1.48367,1.4417533333333334,1.3042458333333333
2010-12-10,1.5826,1.6261,1.553,1.6113,1.6092,14202.85,0.0020999999999999,0.1305,76798.5854,1.5570255159423234,1.4748401905935804,0.08218532534874301,0.08363245672513556,-0.002894262752785093,1.58006,1.5922899999999998,1.50038,1.4523800000000002,1.3163770833333335
2010-12-13,1.6166,1.748,1.6113,1.7216,1.6113,27722.66,0.1103,6.8454,159331.8689,1.5823446673358121,1.493118694994056,0.08922597234175611,0.08475115984845967,0.00894962498659288,1.62484,1.60471,1.517415,1.466586666666667,1.3298895833333333
2010-12-14,1.7222,1.7509,1.6918,1.7302,1.7216,22081.19,0.0085999999999999,0.4995,128715.5986,1.605091641591841,1.5106802731426445,0.09441136844919651,0.08668320156860704,0.015456333761178942,1.6514600000000002,1.6131700000000002,1.5359,1.4822133333333334,1.3427187500000002
2010-12-15,1.742,1.742,1.6622,1.6858,1.7302,37095.69,-0.0443999999999999,-2.5662,212101.2188,1.6175083121161733,1.523652104761708,0.09385620735446532,0.0881178027257787,0.011476809257373238,1.67162,1.6204999999999998,1.5543850000000001,1.4965066666666667,1.3543458333333334
2010-12-16,1.674,1.7849,1.6444,1.7361,1.6858,24277.38,0.0503,2.9837,143483.1503,1.6357531871752236,1.5393889858904704,0.0963642012847532,0.0897670824375736,0.013194237694359207,1.6969999999999998,1.63265,1.5753400000000002,1.5104866666666665,1.36836875
2010-12-17,1.7243,1.7568,1.6965,1.7471,1.7361,12707.06,0.0110000000000001,0.6336,74175.9246,1.652883466071343,1.5547749869356207,0.09810847913572229,0.09143536177720334,0.013346234717037914,1.7241600000000001,1.65211,1.5923500000000002,1.5219433333333332,1.38323125
2010-12-20,1.7459,1.7926,1.7006,1.7834,1.7471,22337.92,0.0363,2.0777,132997.9485,1.672962932829598,1.5717101730885377,0.1012527597410604,0.09339884136997476,0.0157078367421713,1.73652,1.68068,1.6094149999999998,1.53259,1.3988249999999998
2010-12-21,1.7834,1.8012,1.7216,1.745,1.7834,16071.56,-0.0383999999999999,-2.1532,95115.2981,1.6840455585481215,1.5845464565634608,0.09949910198466072,0.09461889349291194,0.009760416983497555,1.73948,1.6954699999999998,1.62302,1.5433366666666666,1.412375
2010-12-22,1.7639,1.7645,1.6947,1.7065,1.745,13044.23,-0.0385000000000002,-2.2063,75414.9275,1.6875000880022568,1.5935800523735748,0.09392003562868201,0.09447912192006595,-0.0011181725827678901,1.74362,1.70762,1.63353,1.5511333333333333,1.4263312499999998
2010-12-23,1.7051,1.7302,1.6622,1.6708,1.7065,13687.94,-0.0356999999999998,-2.092,78406.6946,1.6849308436942174,1.599300048494051,0.08563079520016648,0.09270945657608606,-0.014157322751839174,1.73056,1.7137800000000003,1.64508,1.5603733333333334,1.4402812500000002
2010-12-24,1.6569,1.6944,1.5087,1.5971,1.6708,36196.96,-0.0737000000000001,-4.4111,195309.876,1.6714184062027995,1.599137081938936,0.07228132426386358,0.08862383011364158,-0.03268501169955601,1.70056,1.7123599999999999,1.652325,1.57104,1.4515875000000003
2010-12-27,1.5823,1.6116,1.4877,1.496,1.5971,21898.36,-0.1010999999999999,-6.3302,114777.5633,1.6444309590946764,1.5914972980916073,0.052933661003069066,0.0814857962915271,-0.057104270576916055,1.64308,1.6898,1.6472550000000001,1.5748766666666667,1.4602145833333333
2010-12-28,1.4812,1.4966,1.4197,1.4489,1.496,26693.5,-0.0470999999999999,-3.1484,131093.2587,1.6143492730801108,1.5809345352700066,0.03341473781010418,0.07187158459524252,-0.07691369357027669,1.58386,1.6616700000000002,1.6374199999999999,1.5778233333333334,1.4682291666666665
2010-12-29,1.4478,1.5788,1.4478,1.5448,1.4489,26064.35,0.0958999999999998,6.6188,133154.2207,1.6036493849139397,1.578257903027784,0.02539148188615581,0.06257556405342518,-0.07436816433453874,1.55152,1.64757,1.6340350000000001,1.5854466666666667,1.4782916666666666
2010-12-30,1.5468,1.6444,1.5291,1.5971,1.5448,20043.11,0.0523,3.3856,108692.8812,1.6026417872348722,1.5796536139146147,0.022988173320257488,0.054658085906791644,-0.06333982517306831,1.53678,1.63367,1.6331599999999997,1.5947833333333332,1.48855
2010-12-31,1.5965,1.656,1.5876,1.6554,1.5971,11621.94,0.0583,3.6504,64395.3799,1.6107584353525841,1.585264457328347,0.02549397802423714,0.04882526433028074,-0.0466625726120872,1.54844,1.6245,1.6383050000000001,1.6030666666666666,1.5006833333333331
2011-01-04,1.6415,1.6826,1.6169,1.6489,1.6554,12242.24,-0.0064999999999999,-0.3927,68250.2873,1.6166263683752635,1.5899782012299508,0.026648167145312707,0.044389844893287136,-0.03548335549594886,1.5790199999999999,1.6110499999999999,1.645865,1.60996,1.5121874999999998
2011-01-05,1.6415,1.6504,1.6001,1.6433,1.6489,11834.96,-0.0056,-0.3396,64811.7837,1.6207300040098385,1.5939279641018065,0.026802039908031983,0.04087228389623611,-0.02814048797640825,1.6179,1.60088,1.6481750000000002,1.61564,1.5212895833333333
2011-01-06,1.6433,1.6737,1.606,1.6583,1.6433,9561.38,0.0150000000000001,0.9128,53011.2499,1.6265100033929403,1.5986962630572283,0.027813740335711934,0.03826057518413128,-0.020893669696838688,1.6405999999999998,1.59606,1.65184,1.62104,1.528910416666667
2011-01-07,1.6527,1.6734,1.5971,1.6208,1.6583,10411.7,-0.0375,-2.2614,57480.3893,1.625631541332488,1.600333576904841,0.02529796442764698,0.03566805303283442,-0.020740177210374883,1.6453399999999998,1.5910600000000001,1.65242,1.6270733333333334,1.5356895833333333
